name,id,description,search_term,wikidata_id,wikidata_label,wikidata_description
Área de Proteção Ambiental Chapada dos Guimarães,1142,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Chapada dos Guimarães,Q96610928,Área de Proteção Ambiental da Chapada dos Guimarães,NONE
Floresta Nacional Chapecó,1294,nature reserve in Brazil (Floresta Nacional),Floresta Nacional Chapecó,Q10282855,Chapecó National Forest,NONE
Parque Estadual Charapucu,5130,nature reserve in Brazil (Parque Estadual),Parque Estadual Charapucu,Q10344988,Charapucu State Park,NONE
Estação Ecológica Chauás,965,nature reserve in Brazil (Estação Ecológica),Estação Ecológica Chauá,Q28220815,Chauás Ecological Station,"Ecological station in São Paulo State, Brazil"
Reserva Extrativista Chocoaré - Mato Grosso,3468,nature reserve in Brazil (Reserva Extrativista),Reserva Extrativista Chocoaré - Mato Grosso,Q10359667,Chocoaré - Mato Grosso Extractive Reserve,"Extractive reserve in Pará, Brazil"
Área de Proteção Ambiental Cochá e Gibão,5065,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Cochá e Gibão,Q96610493,NONE,NONE
Reserva Biológica Comboios,982,nature reserve in Brazil (Reserva Biológica),Reserva Biológica Comboio,Q5150933,Comboios Biological Reserve,NONE
Área de Proteção Ambiental Conceição da Barra,2894,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Conceição da Barra,Q19607626,NONE,NONE
Reserva Biológica Contagem,3461,nature reserve in Brazil (Reserva Biológica),Reserva Biológica Contagem,Q24248557,Contagem Biological Reserve,NONE
Refúgio de Vida Silvestre Corixão da Mata Azul,2778,nature reserve in Brazil (Refúgio de Vida Silvestre),Refúgio de Vida Silvestre Corixão da Mata Azul,Q96741143,NONE,NONE
Floresta Estadual Córrego da Biquinha,1182,nature reserve in Brazil (Floresta Estadual),Floresta Estadual Córrego da Biquinha,Q96614635,Floresta Estadual Córrego da Biquinha,NONE
Reserva Biológica Córrego do Veado,853,nature reserve in Brazil (Reserva Biológica),Reserva Biológica Córrego do Veado,Q108168471,"Diversidade de morcegos da Reserva Biológica Córrego do Veado, Pinheiros, Espírito Santo",scientific article
Área de Relevante Interesse Ecológico Córrego Mato Grande,5493,nature reserve in Brazil (Área de Relevante Interesse Ecológico),Área de Relevante Interesse Ecológico Córrego Mato Grande,Q96612121,NONE,NONE
Estação Ecológica Corumbá,2130,nature reserve in Brazil (Estação Ecológica),Estação Ecológica Corumbá,Q96614570,Estação Ecológica de Corumbá,NONE
"Área de Proteção Ambiental Corumbatai, Botucatu e Tejupá",884,nature reserve in Brazil (Área de Proteção Ambiental),"Área de Proteção Ambiental Corumbatai, Botucatu e Tejupá",Q48868254,Corumbataí-Botucatu-Tejupá Environmental Protection Area,"Environmental Protection Area in the state of São Paulo, Brazil"
Parque Estadual Corumbiara,829,nature reserve in Brazil (Parque Estadual),Parque Estadual Corumbiara,Q96740906,NONE,NONE
Área de Proteção Ambiental Costa das Algas,5144,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Costa das Algas,Q16493393,Costa das Algas Environmental Protection Area,"Protected area in Espírito Santo, Brazil"
Área de Proteção Ambiental Costa dos Corais,1289,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Costa dos Corais,Q96613433,Costa dos Corais Environmental Protection Area,"Environmental Protection Area in Alagoas and Pernambuco, Brazil"
Parque Estadual Costa do Sol,5207,nature reserve in Brazil (Parque Estadual),Parque Estadual Costa do Sol,Q5174966,Costa do Sol State Park,"state park in Rio de Janeiro, Brazil"
Floresta Nacional Crepori,4444,nature reserve in Brazil (Floresta Nacional),Floresta Nacional Crepori,Q30326569,Crepori National Forest,national forest in Brazil
Parque Estadual Cristalino,1375,nature reserve in Brazil (Parque Estadual),Parque Estadual Cristalino,Q10345068,Cristalino State Park,"state park in Novo Mundo, Brazil"
Parque Estadual Cristalino II,1391,nature reserve in Brazil (Parque Estadual),Parque Estadual Cristalino II,Q96740897,NONE,NONE
Floresta Nacional Cristópolis,2681,nature reserve in Brazil (Floresta Nacional),Floresta Nacional Cristópoli,Q90426626,Cristópolis National Forest,NONE
Área de Relevante Interesse Ecológico Cruls,5490,nature reserve in Brazil (Área de Relevante Interesse Ecológico),Área de Relevante Interesse Ecológico Cruls,Q96611698,NONE,NONE
Reserva de Desenvolvimento Sustentável Cujubim,3550,nature reserve in Brazil (Reserva de Desenvolvimento Sustentável),Reserva de Desenvolvimento Sustentável Cujubim,Q96613954,NONE,NONE
Reserva Biológica Culuene,778,nature reserve in Brazil (Reserva Biológica),Reserva Biológica Culuene,Q96613915,NONE,NONE
Parque Estadual Cunhambebe,4975,nature reserve in Brazil (Parque Estadual),Parque Estadual Cunhambebe,Q10344989,Parque Estadual Cunhambebe,NONE
Estação Ecológica Cuniã,1404,nature reserve in Brazil (Estação Ecológica),Estação Ecológica Cuniã,Q10275707,Cuniã Ecological Station,NONE
Reserva Extrativista Curralinho,1321,nature reserve in Brazil (Reserva Extrativista),Reserva Extrativista Curralinho,Q96614093,NONE,NONE
Reserva Extrativista Cururupu,4239,nature reserve in Brazil (Reserva Extrativista),Reserva Extrativista Cururupu,Q10359701,NONE,NONE
Parque Estadual Delta do Jacuí,2294,nature reserve in Brazil (Parque Estadual),Parque Estadual Delta do Jacuí,Q3364110,Jacuí Delta State Park,"state park in Rio Grande do Sul, Brazil"
Área de Proteção Ambiental Delta do Jacuí,5227,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Delta do Jacuí,Q10395933,NONE,NONE
Área de Proteção Ambiental Delta do Parnaíba (Federal),1150,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Delta do Parnaíba (federal),Q30326562,Delta do Parnaíba Environmental Protection Area,environmental protection area in Brazil
Parque Nacional Descobrimento,2518,nature reserve in Brazil (Parque Nacional),Parque Nacional Descobrimento,Q10345245,Discovery National Park,"national park in Prado, Bahia"
Reserva de Desenvolvimento Sustentável Despraiado,4767,nature reserve in Brazil (Reserva de Desenvolvimento Sustentável),Reserva de Desenvolvimento Sustentável Despraiado,Q96613960,NONE,NONE
Parque Estadual Dom Osório Stoffel,3451,nature reserve in Brazil (Parque Estadual),Parque Estadual Dom Osório Stoffel,Q96740918,Parque Estadual Dom Osório Stoffel,NONE
Reserva Biológica Duas Bocas,1034,nature reserve in Brazil (Reserva Biológica),Reserva Biológica Duas Boca,Q10359638,Duas Bocas Biological Reserve,NONE
Área de Proteção Ambiental Dunas da Lagoinha,2804,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Dunas da Lagoinha,Q96611050,NONE,NONE
Parque Estadual Dunas de Natal,2011,nature reserve in Brazil (Parque Estadual),Parque Estadual Duna de Natal,Q5314092,Dunas de Natal State Park,"state park in Rio Grande do Norte, Brazil"
Área de Proteção Ambiental Dunas do Rosado,6063,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Dunas do Rosado,Q10395950,environmental protection area of ​​Dunas do Rosado,"Brazilian integral protection conservation unit located in the municipality of Porto do Mangue, in the state of Rio Grande do Norte"
Floresta Estadual Edmundo Navarro de Andrade,2945,nature reserve in Brazil (Floresta Estadual),Floresta Estadual Edmundo Navarro de Andrade,Q25216941,Floresta Estadual Edmundo Navarro de Andrade,NONE
Parque Nacional Emas,1276,nature reserve in Brazil (Parque Nacional),Parque Nacional Ema,Q752218,Emas National Park,"UNESCO World Heritage Site in Goiás, Brazil"
Área de Proteção Ambiental Encantado,5485,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Encantado,Q96611604,NONE,NONE
Parque Estadual Encontro das Águas,4253,nature reserve in Brazil (Parque Estadual),Parque Estadual Encontro das Água,Q10344991,Encontro das Águas State Park,NONE
Refúgio de Vida Silvestre Engenho Moreninho,5532,nature reserve in Brazil (Refúgio de Vida Silvestre),Refúgio de Vida Silvestre Engenho Moreninho,Q96741157,NONE,NONE
Área de Proteção Ambiental Escarpa Devoniana,3448,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Escarpa Devoniana,Q28680560,NONE,NONE
Parque Estadual Espigão Alto,2295,nature reserve in Brazil (Parque Estadual),Parque Estadual Espigão Alto,Q10345113,Espigão Alto State Park,Historical good listed by the Institute of Historical and Artistic Heritage of the State of Rio Grande do Sul in the city of Barracão
Parque Estadual Espinilho,2296,nature reserve in Brazil (Parque Estadual),Parque Estadual Espinilho,Q10345070,Parque Estadual do Espinilho,NONE
Área de Proteção Ambiental Estrada-Parque de Piraputanga,3063,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental estrada-parque de Piraputanga,Q96611760,Área de Proteção Ambiental Estrada Parque de Piraputanga,NONE
Área de Proteção Ambiental Estuário do Rio Ceará,2801,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Estuário do Rio Ceará,Q96611610,NONE,NONE
Área de Proteção Ambiental Estuário do Rio Curú,2799,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Estuário do Rio Curú,Q96611612,NONE,NONE
Área de Proteção Ambiental Estuário do Rio Mundaú,2802,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Estuário do Rio Mundaú,Q96611617,Área de Proteção Ambiental do Estuário do Rio Mundaú,NONE
Monumento Natural Experiência da Jaguara,5501,nature reserve in Brazil (Monumento Natural),Monumento Natural Experiência da Jaguara,Q96615102,NONE,NONE
Reserva Extrativista Extremo Norte do Tocantins,631,nature reserve in Brazil (Reserva Extrativista),Reserva Extrativista Extremo Norte do Tocantin,Q10359706,Extremo Norte do Tocantins Extractive Reserve,NONE
Monumento Natural Falésias de Beberibe,5498,nature reserve in Brazil (Monumento Natural),Monumento Natural Falésia de Beberibe,Q9034939,Beberibe Cliffs Natural Monument,NONE
Área de Proteção Ambiental Fazendinha,809,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Fazendinha,Q28220736,Fazendinha Environmental Protection Area,Brazilian environmentally protected area
Estação Ecológica Fechos,2546,nature reserve in Brazil (Estação Ecológica),Estação Ecológica Fecho,Q96614572,NONE,NONE
Estação Ecológica Fernandes Pinheiro,2899,nature reserve in Brazil (Estação Ecológica),Estação Ecológica Fernandes Pinheiro,Q96614601,NONE,NONE
Área de Relevante Interesse Ecológico Floresta da Cicuta,2003,nature reserve in Brazil (Área de Relevante Interesse Ecológico),Área de Relevante Interesse Ecológico Floresta da Cicuta,Q10395968,Área de Relevante Interesse Ecológica Floresta da Cicuta,NONE
Parque Estadual Fontes do Ipiranga,1077,nature reserve in Brazil (Parque Estadual),Parque Estadual Fontes do Ipiranga,Q5465184,Fontes do Ipiranga Biological Reserve,biological reserve in Brazil
Área de Proteção Ambiental Foz do Rio das Preguiças,784,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Foz do Rio das Preguiças,Q56347846,Área de Proteção Ambiental da Foz do Rio das Preguiças - Pequenos Lençóis - Região Lagunar Adjacente,NONE
Área de Proteção Ambiental Frades,2171,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Frades,Q28220520,Bacia dos Frades Environmental Protection Area,"area in the state of Rio de Janeiro, Brazil"
Reserva Extrativista Freijó,3032,nature reserve in Brazil (Reserva Extrativista),Reserva Extrativista Freijó,Q96614105,NONE,NONE
Parque Estadual Fritz Plaumann,3567,nature reserve in Brazil (Parque Estadual),Parque Estadual Fritz Plaumann,Q10344992,Fritz Plaumann State Park,NONE
Parque Nacional Furna Feia,5303,nature reserve in Brazil (Parque Nacional),Parque Nacional Furna Feia,Q1588750,Furna Feia National Park,national park of Brazil
Reserva Biológica Gama,2531,nature reserve in Brazil (Reserva Biológica),Reserva Biológica Gama,Q96613923,NONE,NONE
Reserva Extrativista Garrote,3031,nature reserve in Brazil (Reserva Extrativista),Reserva Extrativista Garrote,Q96614106,NONE,NONE
Floresta Estadual de Rendimento Sustentado Gavião,3020,nature reserve in Brazil (Floresta Estadual de Rendimento Sustentado),Floresta Estadual de Rendimento Sustentado Gavião,Q96614872,NONE,NONE
Área de Proteção Ambiental Gericinó/Mendanha,2172,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental gericinó/mendanha,Q96611065,NONE,NONE
Área de Relevante Interesse Ecológico Goiamunduba,2898,nature reserve in Brazil (Área de Relevante Interesse Ecológico),Área de Relevante Interesse Ecológico Goiamunduba,Q10387665,NONE,NONE
Floresta Nacional Goytacazes,3455,nature reserve in Brazil (Floresta Nacional),Floresta Nacional Goytacaze,Q10282869,Goytacazes National Forest,nature conservation area owned by the Brazilian Federal government
Parque Estadual Graciosa,1189,nature reserve in Brazil (Parque Estadual),Parque Estadual Graciosa,Q10344994,Graciosa State Park,NONE
Parque Estadual Grajaú,2195,nature reserve in Brazil (Parque Estadual),Parque Estadual Grajaú,Q10345073,Reserva Florestal do Grajaú,NONE
Parque Nacional Grande Sertão Veredas,943,nature reserve in Brazil (Parque Nacional),Parque Nacional Grande Sertão Vereda,Q5595368,Grande Sertão Veredas National Park,NONE
Parque Estadual Grão Mogol,2817,nature reserve in Brazil (Parque Estadual),Parque Estadual Grão Mogol,Q28376147,Grão Mogol State Park,NONE
Estação Ecológica Grão-Pará,4638,nature reserve in Brazil (Estação Ecológica),Estação Ecológica Grão-Pará,Q24959756,Grão-Pará Ecological Station,the largest strictly protected tropical forest conservation area in the world
Monumento Natural Grota do Angico,4902,nature reserve in Brazil (Monumento Natural),Monumento Natural Grota do Angico,Q96615103,Monumento Natural Grota do Angico,NONE
Parque Estadual Gruta da Lagoa Azul,2777,nature reserve in Brazil (Parque Estadual),Parque Estadual Gruta da Lagoa Azul,Q10344995,Gruta da Lagoa Azul State Park,NONE
Monumento Natural Gruta da Lancinha,6064,nature reserve in Brazil (Monumento Natural),Monumento Natural Gruta da Lancinha,Q96615104,NONE,NONE
Monumento Natural Gruta do Lago Azul,3497,nature reserve in Brazil (Monumento Natural),Monumento Natural Gruta do Lago Azul,Q22687920,Blue Lake Cave,cave in Brazil
Área de Proteção Ambiental Gruta dos Brejões/Vereda do Romão Gramacho,2878,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Gruta dos brejões/vereda do Romão Gramacho,Q116171269,NONE,NONE
Monumento Natural Gruta Rei do Mato,2099,nature reserve in Brazil (Monumento Natural),Monumento Natural Gruta Rei do Mato,Q96614957,Monumento Natural Estadual Gruta Rei do Mato,NONE
Monumento Natural Gruta Rei do Mato,6040,nature reserve in Brazil (Monumento Natural),Monumento Natural Gruta Rei do Mato,Q96614957,Monumento Natural Estadual Gruta Rei do Mato,NONE
Área de Proteção Ambiental Guadalupe,2795,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Guadalupe,Q96611218,Área de Proteção Ambiental de Guadalupe,NONE
Área de Proteção Ambiental Guaibim,1026,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Guaibim,Q96611777,NONE,NONE
Parque Estadual Guajará-Mirim,830,nature reserve in Brazil (Parque Estadual),Parque Estadual Guajará-Mirim,Q96740907,NONE,NONE
Estação Ecológica Guanabara,4456,nature reserve in Brazil (Estação Ecológica),Estação Ecológica Guanabara,Q28220531,Guanabara Ecological Station,Guanabara Ecological Station is localized in Brazil
Área de Proteção Ambiental Guapimirim,980,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Guapimirim,Q7269124,Guapi-Mirim Environmental Protection Area,"Protected coastal marine area in Rio de Janeiro, Brazil"
Reserva Biológica Guaporé,619,nature reserve in Brazil (Reserva Biológica),Reserva Biológica Guaporé,Q5613879,Guaporé Biological Reserve,NONE
Reserva Biológica Guará,3260,nature reserve in Brazil (Reserva Biológica),Reserva Biológica Guará,Q96613924,NONE,NONE
Área de Proteção Ambiental Guaratuba,1184,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Guaratuba,Q28220838,Guaratuba Environmental Protection Area,NONE
Reserva Extrativista Guariba,4256,nature reserve in Brazil (Reserva Extrativista),Reserva Extrativista Guariba,Q96614109,NONE,NONE
Reserva Extrativista Guariba-Roosevelt,1141,nature reserve in Brazil (Reserva Extrativista),Reserva Extrativista Guariba-Roosevelt,Q96614109,NONE,NONE
Reserva Biológica Guaribas,852,nature reserve in Brazil (Reserva Biológica),Reserva Biológica Guariba,Q5614160,Guaribas Biological Reserve,"Biological reserve in the state of Paraíba, Brazil"
Parque Nacional Guaricana,5405,nature reserve in Brazil (Parque Nacional),Parque Nacional Guaricana,Q24647783,Guaricana National Park,"national park in Paraná, Brazil"
Parque Estadual Guartelá,1176,nature reserve in Brazil (Parque Estadual),Parque Estadual Guartelá,Q10345072,Guartelá State Park,NONE
Floresta Estadual Guarulhos,5127,nature reserve in Brazil (Floresta Estadual),Floresta Estadual Guarulho,Q96614641,NONE,NONE
Estação Ecológica Guaxindiba,3488,nature reserve in Brazil (Estação Ecológica),Estação Ecológica Guaxindiba,Q30933103,NONE,NONE
Parque Estadual Guirá,3439,nature reserve in Brazil (Parque Estadual),Parque Estadual Guirá,Q10344997,Guirá State Park,"Guirá State Park with state level, localizated in Cáceres (MT)"
Reserva Extrativista Gurupá-Melgaço,4637,nature reserve in Brazil (Reserva Extrativista),Reserva Extrativista Gurupá-Melgaço,Q10359669,NONE,NONE
Reserva Biológica Gurupi,618,nature reserve in Brazil (Reserva Biológica),Reserva Biológica Gurupi,Q5620531,Gurupi Biological Reserve,biological reserve
Floresta Nacional Humaitá,1329,nature reserve in Brazil (Floresta Nacional),Floresta Nacional Humaitá,Q10282870,Humaitá National Forest,"federal level Humaitá National Forest, located in Humaitá (AM)"
Parque Estadual Ibicatu,1284,nature reserve in Brazil (Parque Estadual),Parque Estadual Ibicatu,Q86731789,NONE,NONE
Reserva Biológica Ibicuí Mirim,2312,nature reserve in Brazil (Reserva Biológica),Reserva Biológica Ibicuí Mirim,Q96613925,NONE,NONE
Parque Estadual Ibiporã,2250,nature reserve in Brazil (Parque Estadual),Parque Estadual Ibiporã,Q56695597,Museu do Parque Estadual de Ibiporã,"museum in Ibiporã, Paraná"
Área de Proteção Ambiental Ibitinga,976,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Ibitinga,Q96611785,NONE,NONE
Parque Estadual Ibitipoca,2116,nature reserve in Brazil (Parque Estadual),Parque Estadual Ibitipoca,Q10345074,Ibitipoca State Park,"state park in Minas Gerais, Brazil"
Parque Estadual Ibitiriá,2297,nature reserve in Brazil (Parque Estadual),Parque Estadual Ibitiriá,Q10345075,NONE,NONE
Floresta Nacional Ibura,4366,nature reserve in Brazil (Floresta Nacional),Floresta Nacional Ibura,Q96614927,NONE,NONE
Reserva de Desenvolvimento Sustentável Igapó-Açu,4859,nature reserve in Brazil (Reserva de Desenvolvimento Sustentável),Reserva de Desenvolvimento Sustentável igapó-açu,Q26761848,Igapó-Açu Sustainable Development Reserve,"sustainable development reserve in the state of Amazonas, Brazil"
Parque Estadual Igarapés do Juruena,3449,nature reserve in Brazil (Parque Estadual),Parque Estadual Igarapés do Juruena,Q26838175,Igarapés do Juruena State Park,"state park in Mato Grosso, Brazil"
Parque Nacional Iguaçu,869,nature reserve in Brazil (Parque Nacional),Parque Nacional Iguaçu,Q22042397,Parque Nacional do Iguaçu,"park in Paraná, Brazil"
Parque Estadual Ilha Anchieta,969,nature reserve in Brazil (Parque Estadual),Parque Estadual Ilha Anchieta,Q10301056,Ilha Anchieta State Park,NONE
Parque Estadual Ilhabela,872,nature reserve in Brazil (Parque Estadual),Parque Estadual Ilhabela,Q10345052,Ilhabela State Park,"State park in Ilhabela, Brazil"
Área de Relevante Interesse Ecológico Ilha do Ameixal,1167,nature reserve in Brazil (Área de Relevante Interesse Ecológico),Área de Relevante Interesse Ecológico Ilha do Ameixal,Q10395969,Ilha do Ameixal Area of Relevant Ecological Interest,NONE
Área de Proteção Ambiental Ilha do Combu,2969,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Ilha do Combu,Q16493399,Área de Proteção Ambiental da Ilha do Combu,NONE
Refúgio de Vida Silvestre Ilha dos Lobos,985,nature reserve in Brazil (Refúgio de Vida Silvestre),Refúgio de Vida Silvestre Ilha dos Lobos,Q10358520,NONE,NONE
Reserva Extrativista Ilha do Tumba,4936,nature reserve in Brazil (Reserva Extrativista),Reserva Extrativista Ilha do Tumba,Q96614110,NONE,NONE
Monumento Natural Ilhas Cagarras,2467,nature reserve in Brazil (Monumento Natural),Monumento Natural Ilhas Cagarra,Q652659,Ilhas Cagarras,archipelago
Monumento Natural Ilhas de Trindade e Martim Vaz e do Monte Columbia,5518,nature reserve in Brazil (Monumento Natural),Monumento Natural Ilha de Trindade e Martim Vaz e do Monte Columbia,Q52159423,NONE,NONE
Refúgio de Vida Silvestre Ilhas do Abrigo e Guararitama,4771,nature reserve in Brazil (Refúgio de Vida Silvestre),Refúgio de Vida Silvestre Ilhas do Abrigo e Guararitama,Q96741148,NONE,NONE
Área de Relevante Interesse Ecológico Ilhas Queimada Pequena e Queimada Grande,1168,nature reserve in Brazil (Área de Relevante Interesse Ecológico),Área de Relevante Interesse Ecológico Ilhas Queimada Pequena e Queimada Grande,Q27891792,Ilhas Queimada Pequena e Queimada Grande Area of Relevant Ecological Interest,NONE
Reserva Extrativista Ipaú-Anilzinho,4330,nature reserve in Brazil (Reserva Extrativista),Reserva Extrativista Ipaú-Anilzinho,Q10359670,NONE,NONE
Reserva Extrativista Ipê,3030,nature reserve in Brazil (Reserva Extrativista),Reserva Extrativista Ipê,Q96614114,NONE,NONE
Área de Relevante Interesse Ecológico Ipojuca-Merepe,6055,nature reserve in Brazil (Área de Relevante Interesse Ecológico),Área de Relevante Interesse Ecológico ipojuca-merepe,Q96612142,NONE,NONE
Estação Ecológica Iquê,611,nature reserve in Brazil (Estação Ecológica),Estação Ecológica Iquê,Q16862836,Iquê Ecological Station,NONE
Floresta Nacional Iquiri,4958,nature reserve in Brazil (Floresta Nacional),Floresta Nacional Iquiri,Q25221681,Iquiri National Forest,national Forest in Brazil
Floresta Nacional Irati,1296,nature reserve in Brazil (Floresta Nacional),Floresta Nacional Irati,Q18479023,Floresta Nacional de Irati,NONE
Floresta Estadual Iriri,4643,nature reserve in Brazil (Floresta Estadual),Floresta Estadual Iriri,Q96614643,NONE,NONE
Estação Ecológica Itaberá,923,nature reserve in Brazil (Estação Ecológica),Estação Ecológica Itaberá,Q96614608,NONE,NONE
Parque Estadual Itaberaba,5125,nature reserve in Brazil (Parque Estadual),Parque Estadual Itaberaba,Q25422623,NONE,NONE
Floresta Nacional Itacaiúnas,1324,nature reserve in Brazil (Floresta Nacional),Floresta Nacional Itacaiúna,Q90430473,Itacaiunas National Forest,NONE
Parque Estadual Itacolomi,2117,nature reserve in Brazil (Parque Estadual),Parque Estadual Itacolomi,Q10345077,Parque Estadual do Itacolomi,NONE
Floresta Nacional Itaituba I,1326,nature reserve in Brazil (Floresta Nacional),Floresta Nacional Itaituba I,Q25067694,Itaituba I National Forest,national forest in Brazil
Floresta Nacional Itaituba II,1327,nature reserve in Brazil (Floresta Nacional),Floresta Nacional Itaituba II,Q25067691,Itaituba II National Forest,national forest in Brazil
Reserva de Desenvolvimento Sustentável Itapanhapima,4935,nature reserve in Brazil (Reserva de Desenvolvimento Sustentável),Reserva de Desenvolvimento Sustentável Itapanhapima,Q96613978,NONE,NONE
Estação Ecológica Itapeti,924,nature reserve in Brazil (Estação Ecológica),Estação Ecológica Itapeti,Q96614573,NONE,NONE
Reserva Extrativista Itapetininga,5453,nature reserve in Brazil (Reserva Extrativista),Reserva Extrativista Itapetininga,Q61001643,NONE,NONE
Parque Estadual Itapuã,2298,nature reserve in Brazil (Parque Estadual),Parque Estadual Itapuã,Q1675228,Itapuã State Park,Brazilian state park
Monumento Natural Itatiaia,5499,nature reserve in Brazil (Monumento Natural),Monumento Natural Itatiaia,Q96614953,NONE,NONE
Reserva Extrativista Itaúba,3029,nature reserve in Brazil (Reserva Extrativista),Reserva Extrativista Itaúba,Q96614099,NONE,NONE
Parque Estadual Itaúnas,1040,nature reserve in Brazil (Parque Estadual),Parque Estadual Itaúna,Q10345055,Itaúnas State Park,NONE
Parque Estadual Itinguçu,4768,nature reserve in Brazil (Parque Estadual),Parque Estadual Itinguçu,Q24238711,Itinguçu State Park,nature preservation park in São Paulo State
Reserva Ecológica Jacarenema,2892,nature reserve in Brazil (Reserva Ecológica),Reserva Ecológica Jacarenema,Q10359653,Jacarenema Ecological Reserve,NONE
Reserva Extrativista Jaci Paraná,1319,nature reserve in Brazil (Reserva Extrativista),Reserva Extrativista Jaci Paraná,Q96614118,NONE,NONE
Floresta Nacional Jacundá,4249,nature reserve in Brazil (Floresta Nacional),Floresta Nacional Jacundá,Q10282873,Jacundá National Forest,NONE
Parque Estadual Jalapão,1406,nature reserve in Brazil (Parque Estadual),Parque Estadual Jalapão,Q10345079,Jalapão,state park
Área de Proteção Ambiental Jalapão,2958,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Jalapão,Q96611791,Jalapão Environmental Protection Area,protected area in Brazil
Floresta Nacional Jamanxim,4445,nature reserve in Brazil (Floresta Nacional),Floresta Nacional Jamanxim,Q24960009,Jamanxim National Forest,NONE
Parque Nacional Jamanxim,4447,nature reserve in Brazil (Parque Nacional),Parque Nacional Jamanxim,Q17265018,Jamanxim National Park,national park in Brasil
Estação Ecológica Jardim Botânico de Brasília,2539,nature reserve in Brazil (Estação Ecológica),Estação Ecológica Jardim Botânico de Brasília,Q110857779,"Novelties in Dyckia (Pitcairnioideae ‐ Bromeliaceae) from the South America dry diagonal: Two new species, a new combination and a new name",scholarly article published in 2021
Estação Ecológica Jari,605,nature reserve in Brazil (Estação Ecológica),Estação Ecológica Jari,Q6160189,Jari Ecological Station,nature reserve in Brazil
Reserva Biológica Jaru,620,nature reserve in Brazil (Reserva Biológica),Reserva Biológica Jaru,Q6161159,Jaru Biological Reserve,NONE
Estação Ecológica Jataí,1058,nature reserve in Brazil (Estação Ecológica),Estação Ecológica Jataí,Q18475301,Jataí Ecological Station,NONE
Reserva Extrativista Jatobá,3027,nature reserve in Brazil (Reserva Extrativista),Reserva Extrativista Jatobá,Q96614121,NONE,NONE
Floresta Nacional Jatuarana,3411,nature reserve in Brazil (Floresta Nacional),Floresta Nacional Jatuarana,Q19708389,Jatuarana National Forest,NONE
Parque Nacional Jaú,593,nature reserve in Brazil (Parque Nacional),Parque Nacional Jaú,Q332381,Jaú National Park,national park of Brazil
Área de Relevante Interesse Ecológico Javari-Buriti,633,nature reserve in Brazil (Área de Relevante Interesse Ecológico),Área de Relevante Interesse Ecológico javari-buriti,Q10395971,Javari-Buriti Area of Relevant Ecological Interest,NONE
Área de Proteção Ambiental Jenipabu,2013,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Jenipabu,Q46514435,NONE,NONE
Parque Nacional Jericoacoara,2970,nature reserve in Brazil (Parque Nacional),Parque Nacional Jericoacoara,Q10345241,Jericoacoara National Park,NONE
Área de Proteção Ambiental João Leite,3522,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental João Leite,Q96611793,Área de Proteção Ambiental João Leite,NONE
Floresta Estadual José Zago,3156,nature reserve in Brazil (Floresta Estadual),Floresta Estadual José Zago,Q96614908,NONE,NONE
Estação Ecológica Juami-Japurá,608,nature reserve in Brazil (Estação Ecológica),Estação Ecológica Juami-Japurá,Q6298731,Juami-Japurá Ecological Station,nature reserve in Brazil
Reserva de Desenvolvimento Sustentável Juma,4774,nature reserve in Brazil (Reserva de Desenvolvimento Sustentável),Reserva de Desenvolvimento Sustentável Juma,Q96613962,NONE,NONE
