Name,Category,Area (ha),Code,URL
REBIO Comboios,REBIO,833,0000.00.0195,http://uc.socioambiental.org/pt-br/arp/982
APA Conceição da Barra,APA,7728,0000.32.0336,http://uc.socioambiental.org/pt-br/arp/2894
RDS Concha dOstra,RDS,-,0000.32.1832,http://uc.socioambiental.org/pt-br/arp/5641
REBIO Contagem,REBIO,3460,0000.00.0192,http://uc.socioambiental.org/pt-br/arp/3461
FLONA Contendas do Sincorá,FLONA,11034,0000.00.0081,http://uc.socioambiental.org/pt-br/arp/2560
RVS Corixão da Mata Azul,RVS,40000,0000.51.0475,http://uc.socioambiental.org/pt-br/arp/2778
APA Coroa Vermelha (APA),APA,4100,0000.29.0308,http://uc.socioambiental.org/pt-br/arp/1017
FES Córrego da Biquinha,FES,23,0000.41.0517,http://uc.socioambiental.org/pt-br/arp/1182
ARIE Córrego da Cabeceira do Valo,ARIE,62,0000.53.1652,http://uc.socioambiental.org/pt-br/arp/5491
REBIO Córrego do Veado,REBIO,2392,0000.00.0204,http://uc.socioambiental.org/pt-br/arp/853
REBIO Córrego Grande (REBIO),REBIO,1504,0000.00.0205,http://uc.socioambiental.org/pt-br/arp/866
ARIE Córrego Mato Grande,ARIE,132,0000.53.1650,http://uc.socioambiental.org/pt-br/arp/5493
ESEC Corumbá,ESEC,304,0000.31.0366,http://uc.socioambiental.org/pt-br/arp/2130
"APA Corumbatai, Botucatu e Tejupá",APA,649256,0000.35.1700; 0000.35.1972; 0000.35.1973,http://uc.socioambiental.org/pt-br/arp/884
PES Corumbiara,PES,384055,0000.11.1495,http://uc.socioambiental.org/pt-br/arp/829
APA Costa das Algas,APA,112545,0000.00.1912,http://uc.socioambiental.org/pt-br/arp/5144
APA Costa de Itacaré/Serra Grande,APA,-,0000.29.0309,http://uc.socioambiental.org/pt-br/arp/1202
APA Costa dos Corais,APA,413563,0000.00.0009,http://uc.socioambiental.org/pt-br/arp/1289
PES Costa do Sol,PES,-,0000.33.2732,http://uc.socioambiental.org/pt-br/arp/5207
FLONA Crepori,FLONA,739806,0000.00.0270,http://uc.socioambiental.org/pt-br/arp/4444
PES Cristalino,PES,66900,0000.51.1901,http://uc.socioambiental.org/pt-br/arp/1375
PES Cristalino II,PES,118000,0000.51.1902,http://uc.socioambiental.org/pt-br/arp/1391
FLONA Cristópolis,FLONA,11953,0000.00.0090,http://uc.socioambiental.org/pt-br/arp/2681
ARIE Cruls,ARIE,55,0000.53.1658,http://uc.socioambiental.org/pt-br/arp/5490
RDS Cujubim,RDS,2450380,0000.13.0985,http://uc.socioambiental.org/pt-br/arp/3550
REBIO Culuene,REBIO,3900,0000.51.0457,http://uc.socioambiental.org/pt-br/arp/778
PES Cunhambebe,PES,38053,0000.33.1620,http://uc.socioambiental.org/pt-br/arp/4975
ESEC Cuniã,ESEC,189661,0000.00.0053,http://uc.socioambiental.org/pt-br/arp/1404
ESEC Curral do Meio,ESEC,42,0000.27.4043,http://uc.socioambiental.org/pt-br/arp/5484
RESEX Curralinho,RESEX,1758,0000.11.0771,http://uc.socioambiental.org/pt-br/arp/1321
RESEX Cururupu,RESEX,185046,0000.00.0279,http://uc.socioambiental.org/pt-br/arp/4239
PES Delta do Jacuí,PES,17245,0000.43.2000,http://uc.socioambiental.org/pt-br/arp/2294
APA Delta do Jacuí,APA,22826,0000.43.1987,http://uc.socioambiental.org/pt-br/arp/5227
APA Delta do Parnaíba (Federal),APA,313800,0000.00.0019,http://uc.socioambiental.org/pt-br/arp/1150
APA Delta do Rio Parnaíba,APA,-,,http://uc.socioambiental.org/pt-br/arp/3500
PARNA Descobrimento,PARNA,22693,0000.00.0171,http://uc.socioambiental.org/pt-br/arp/2518
PES Desengano (PES),PES,22400,0000.33.1479,http://uc.socioambiental.org/pt-br/arp/2182
RDS Despraiado,RDS,3953,0000.35.1689,http://uc.socioambiental.org/pt-br/arp/4767
PES Dois Irmãos,PES,389,0000.26.0966,http://uc.socioambiental.org/pt-br/arp/1225
MONAT Dom Bosco,MONAT,-,0000.53.1648,http://uc.socioambiental.org/pt-br/arp/4991
PES Dom Osório Stoffel,PES,6422,0000.51.0460,http://uc.socioambiental.org/pt-br/arp/3451
REBIO Duas Bocas,REBIO,2210,0000.32.1667,http://uc.socioambiental.org/pt-br/arp/1034
APA Dunas da Lagoinha,APA,523.489990234375,0000.23.0958,http://uc.socioambiental.org/pt-br/arp/2804
PES Dunas de Natal,PES,1173,0000.24.1475,http://uc.socioambiental.org/pt-br/arp/2011
APA Dunas de Paracuru,APA,3909.60009765625,0000.23.0957,http://uc.socioambiental.org/pt-br/arp/2803
APA Dunas do Litoral Oeste (Pecém),APA,123,0000.23.0950,http://uc.socioambiental.org/pt-br/arp/2797
APA Dunas do Rosado,APA,-,0000.24.4031,http://uc.socioambiental.org/pt-br/arp/6063
APA Dunas e Veredas do Baixo-Médio São Francisco,APA,1085000,0000.29.0317,http://uc.socioambiental.org/pt-br/arp/2882
FES Edmundo Navarro de Andrade,FES,2231,0000.35.0852,http://uc.socioambiental.org/pt-br/arp/2945
PARNA Emas,PARNA,132784,0000.00.0155,http://uc.socioambiental.org/pt-br/arp/1276
APA Encantado,APA,7913,0000.52.1755,http://uc.socioambiental.org/pt-br/arp/5485
PES Encontro das Águas,PES,108960,0000.51.1916,http://uc.socioambiental.org/pt-br/arp/4253
RVS Engenho Moreninho,RVS,66,0000.26.2256,http://uc.socioambiental.org/pt-br/arp/5532
APA Escarpa Devoniana,APA,392363,0000.41.0498,http://uc.socioambiental.org/pt-br/arp/3448
PES Espigão Alto,PES,1332,0000.43.1019,http://uc.socioambiental.org/pt-br/arp/2295
PES Espinilho,PES,1617.14001464844,0000.43.1020,http://uc.socioambiental.org/pt-br/arp/2296
REBIO Estação Experimental de Pindorama,REBIO,-,,http://uc.socioambiental.org/pt-br/arp/859
APA Estrada-Parque de Piraputanga,APA,10108,0000.50.1579,http://uc.socioambiental.org/pt-br/arp/3063
APA Estuário do Rio Ceará,APA,2745,0000.23.0951,http://uc.socioambiental.org/pt-br/arp/2801
APA Estuário do Rio Curú,APA,881.940002441406,0000.23.0955,http://uc.socioambiental.org/pt-br/arp/2799
APA Estuário do Rio Mundaú,APA,1596.36999511719,0000.23.0956,http://uc.socioambiental.org/pt-br/arp/2802
MONAT Experiência da Jaguara,MONAT,38,0000.31.2592,http://uc.socioambiental.org/pt-br/arp/5501
RESEX Extremo Norte do Tocantins,RESEX,9280,0000.00.0240,http://uc.socioambiental.org/pt-br/arp/631
MONAT Falésias de Beberibe,MONAT,31,0000.23.0961,http://uc.socioambiental.org/pt-br/arp/5498
FES Faro,FES,525434,0000.15.1035,http://uc.socioambiental.org/pt-br/arp/4640
REBIO Fazenda Experimental de Zootecnia de Sertãozinho,REBIO,-,,http://uc.socioambiental.org/pt-br/arp/858
ARIE Fazenda Raposa,ARIE,-,0000.23.4064,http://uc.socioambiental.org/pt-br/arp/6071
APA Fazendinha,APA,137,0000.16.0886,http://uc.socioambiental.org/pt-br/arp/809
ESEC Fechos,ESEC,603,0000.31.0384,http://uc.socioambiental.org/pt-br/arp/2546
ESEC Fernandes Pinheiro,ESEC,523,0000.41.0516,http://uc.socioambiental.org/pt-br/arp/2899
APA Fernando de Noronha - Rocas - São Pedro e São Paulo,APA,32187,0000.00.0015,http://uc.socioambiental.org/pt-br/arp/952
APA Fernão Dias,APA,180373,0000.31.0402,http://uc.socioambiental.org/pt-br/arp/2819
PES Florêncio Luciano,PES,-,,http://uc.socioambiental.org/pt-br/arp/2012
ARIE Floresta da Cicuta,ARIE,131,0000.00.0035,http://uc.socioambiental.org/pt-br/arp/2003
PES Fonte Grande,PES,218,,http://uc.socioambiental.org/pt-br/arp/1019
PES Fontes do Ipiranga,PES,562,0000.35.2867,http://uc.socioambiental.org/pt-br/arp/1077
PES Forno Grande (PES),PES,730,0000.32.1534,http://uc.socioambiental.org/pt-br/arp/2162
APA Foz do Rio das Preguiças,APA,269684,0000.21.1889,http://uc.socioambiental.org/pt-br/arp/784
APA Foz do Rio Santa Teresa,APA,50784,0000.17.1500,http://uc.socioambiental.org/pt-br/arp/2962
APA Frades,APA,7500,0000.33.0736,http://uc.socioambiental.org/pt-br/arp/2171
RESEX Freijó,RESEX,600.359985351562,0000.11.0745,http://uc.socioambiental.org/pt-br/arp/3032
PES Fritz Plaumann,PES,742,0000.42.0789,http://uc.socioambiental.org/pt-br/arp/3567
PARNA Furna Feia,PARNA,8494,0000.00.2633,http://uc.socioambiental.org/pt-br/arp/5303
PES Furnas do Bom Jesus,PES,2069,0000.35.0825,http://uc.socioambiental.org/pt-br/arp/928
REBIO Gama,REBIO,136,0000.53.1656,http://uc.socioambiental.org/pt-br/arp/2531
RVS Garça Branca,RVS,140,,http://uc.socioambiental.org/pt-br/arp/3092
RESEX Garrote,RESEX,802.510009765625,0000.11.0757,http://uc.socioambiental.org/pt-br/arp/3031
RVS Gatumé,RVS,-,,http://uc.socioambiental.org/pt-br/arp/6082
FERS Gavião,FERS,440.399993896484,0000.11.0761,http://uc.socioambiental.org/pt-br/arp/3020
APA Gericinó/Mendanha,APA,10500,0000.33.0735,http://uc.socioambiental.org/pt-br/arp/2172
ARIE Goiamunduba,ARIE,67.5,0000.25.2330,http://uc.socioambiental.org/pt-br/arp/2898
FLONA Goytacazes,FLONA,1424,0000.00.0091,http://uc.socioambiental.org/pt-br/arp/3455
PES Graciosa,PES,1189.57995605469,0000.41.0541,http://uc.socioambiental.org/pt-br/arp/1189
PES Grajaú,PES,55,,http://uc.socioambiental.org/pt-br/arp/2195
PARNA Grande Sertão Veredas,PARNA,231000,0000.00.0183,http://uc.socioambiental.org/pt-br/arp/943
ARIE Granja do Ipê,ARIE,1144,0000.53.1644,http://uc.socioambiental.org/pt-br/arp/2956
PES Grão Mogol,PES,33325,0000.31.0387,http://uc.socioambiental.org/pt-br/arp/2817
ESEC Grão-Pará,ESEC,4245819.11,0000.15.1034,http://uc.socioambiental.org/pt-br/arp/4638
MONAT Grota do Angico,MONAT,2300,0000.28.1603,http://uc.socioambiental.org/pt-br/arp/4902
PES Gruta da Lagoa Azul,PES,12513,0000.51.0465,http://uc.socioambiental.org/pt-br/arp/2777
MONAT Gruta da Lancinha,MONAT,-,0000.41.1577,http://uc.socioambiental.org/pt-br/arp/6064
MONAT Gruta do Lago Azul,MONAT,-,0000.50.1515,http://uc.socioambiental.org/pt-br/arp/3497
APA Gruta dos Brejões/Vereda do Romão Gramacho,APA,11900,0000.29.0314,http://uc.socioambiental.org/pt-br/arp/2878
MONAT Gruta Rei do Mato,MONAT,160,0000.31.0360,http://uc.socioambiental.org/pt-br/arp/2099
MONAT Gruta Rei do Mato,MONAT,-,0000.31.0360,http://uc.socioambiental.org/pt-br/arp/6040
APA Guadalupe,APA,44799,0000.26.0967,http://uc.socioambiental.org/pt-br/arp/2795
APA Guaibim,APA,2000,0000.29.0303,http://uc.socioambiental.org/pt-br/arp/1026
PES Guajará-Mirim,PES,216568,0000.11.0765,http://uc.socioambiental.org/pt-br/arp/830
APA Guajuma,APA,28370,,http://uc.socioambiental.org/pt-br/arp/786
ESEC Guanabara,ESEC,1935,0000.00.0263,http://uc.socioambiental.org/pt-br/arp/4456
APA Guapimirim,APA,14340,0000.00.0016,http://uc.socioambiental.org/pt-br/arp/980
REBIO Guaporé,REBIO,600000,0000.00.0206,http://uc.socioambiental.org/pt-br/arp/619
REBIO Guará,REBIO,194,0000.53.1655,http://uc.socioambiental.org/pt-br/arp/3260
ARIE Guará (ARIE),ARIE,455,0000.35.1725,http://uc.socioambiental.org/pt-br/arp/5022
ESEC Guaraguaçu (ESEC),ESEC,1150,0000.41.0497,http://uc.socioambiental.org/pt-br/arp/1186
APA Guaraqueçaba (APA Estadual),APA,191596,0000.41.0496,http://uc.socioambiental.org/pt-br/arp/1187
APA Guaraqueçaba (APA Federal),APA,283014,0000.00.0017,http://uc.socioambiental.org/pt-br/arp/977
ESEC Guaraqueçaba (ESEC),ESEC,4370,0000.00.0054,http://uc.socioambiental.org/pt-br/arp/937
APA Guaratuba,APA,199587,0000.41.0500,http://uc.socioambiental.org/pt-br/arp/1184
RESEX Guariba,RESEX,150465,0000.13.0992,http://uc.socioambiental.org/pt-br/arp/4256
PES Guariba,PES,72296,0000.13.1004,http://uc.socioambiental.org/pt-br/arp/4254
RESEX Guariba-Roosevelt,RESEX,164224,0000.51.0463,http://uc.socioambiental.org/pt-br/arp/1141
REBIO Guaribas,REBIO,4321,0000.00.0196,http://uc.socioambiental.org/pt-br/arp/852
PARNA Guaricana,PARNA,49300,0000.00.3137,http://uc.socioambiental.org/pt-br/arp/5405
PES Guartelá,PES,799,0000.41.0549,http://uc.socioambiental.org/pt-br/arp/1176
FES Guarulhos,FES,92,0000.35.2700,http://uc.socioambiental.org/pt-br/arp/5127
ESEC Guaxindiba,ESEC,3280,0000.33.1481,http://uc.socioambiental.org/pt-br/arp/3488
PES Guirá,PES,100000,0000.51.0477,http://uc.socioambiental.org/pt-br/arp/3439
RESEX Gurupá-Melgaço,RESEX,145298,0000.00.0288,http://uc.socioambiental.org/pt-br/arp/4637
REBIO Gurupi,REBIO,341650,0000.00.0207,http://uc.socioambiental.org/pt-br/arp/618
APA Haras São Bernardo (APA),APA,35,0000.35.3742,http://uc.socioambiental.org/pt-br/arp/1005
FLONA Humaitá,FLONA,468790,0000.00.0092,http://uc.socioambiental.org/pt-br/arp/1329
RBIOSF IBGE,RBIOSF,1360,,http://uc.socioambiental.org/pt-br/arp/2538
PES Ibicatu,PES,57,0000.41.0522,http://uc.socioambiental.org/pt-br/arp/1284
ESEC Ibicatu (ESEC),ESEC,76,0000.35.0819,http://uc.socioambiental.org/pt-br/arp/922
REBIO Ibicuí Mirim,REBIO,575,0000.43.3799,http://uc.socioambiental.org/pt-br/arp/2312
PES Ibiporã,PES,74,0000.41.0504,http://uc.socioambiental.org/pt-br/arp/2250
FLONA Ibirama (FLONA),FLONA,571,0000.00.0093,http://uc.socioambiental.org/pt-br/arp/958
APA Ibirapuitã (APA),APA,318000,0000.00.0021,http://uc.socioambiental.org/pt-br/arp/940
REBIO Ibirapuitã (REBIO),REBIO,351,0000.43.2007,http://uc.socioambiental.org/pt-br/arp/2716
APA Ibitinga,APA,64900,0000.35.1701,http://uc.socioambiental.org/pt-br/arp/976
PES Ibitipoca,PES,1488,,http://uc.socioambiental.org/pt-br/arp/2116
PES Ibitiriá,PES,415,0000.43.2001,http://uc.socioambiental.org/pt-br/arp/2297
FLONA Ibura,FLONA,144,0000.00.0269,http://uc.socioambiental.org/pt-br/arp/4366
RDS Igapó-Açu,RDS,397557.323,0000.13.1732,http://uc.socioambiental.org/pt-br/arp/4859
APA Igarapé Gelado,APA,21600,0000.00.0022,http://uc.socioambiental.org/pt-br/arp/634
APA Igarapé São Francisco,APA,30000,0000.12.0940,http://uc.socioambiental.org/pt-br/arp/4900
PES Igarapés do Juruena,PES,227817,0000.51.0455,http://uc.socioambiental.org/pt-br/arp/3449
PARNA Iguaçu,PARNA,185263,0000.00.0172,http://uc.socioambiental.org/pt-br/arp/869
PES Ilha Anchieta,PES,828,0000.35.0856,http://uc.socioambiental.org/pt-br/arp/969
PES Ilhabela,PES,27025,0000.35.0855,http://uc.socioambiental.org/pt-br/arp/872
APA Ilha Comprida (APA),APA,17527,0000.35.1702,http://uc.socioambiental.org/pt-br/arp/955
ARIE Ilha Comprida (ARIE),ARIE,-,0000.35.2843,http://uc.socioambiental.org/pt-br/arp/956
PES Ilha das Cobras,PES,-,,http://uc.socioambiental.org/pt-br/arp/6066
ARIE Ilha do Ameixal,ARIE,400,0000.00.0036,http://uc.socioambiental.org/pt-br/arp/1167
PES Ilha do Cardoso,PES,22500,0000.35.0841,http://uc.socioambiental.org/pt-br/arp/877
APA Ilha do Combu,APA,1500,0000.15.1027,http://uc.socioambiental.org/pt-br/arp/2969
ESEC Ilha do Mel (ESEC),ESEC,2241,0000.41.0528,http://uc.socioambiental.org/pt-br/arp/1046
PES Ilha do Mel (PES),PES,338,0000.41.0529,http://uc.socioambiental.org/pt-br/arp/3187
RVS Ilha dos Lobos,RVS,142,0000.00.0190,http://uc.socioambiental.org/pt-br/arp/985
RESEX Ilha do Tumba,RESEX,1128.26,0000.35.1685,http://uc.socioambiental.org/pt-br/arp/4936
PARNA Ilha Grande (PARNA),PARNA,108166,0000.00.0161,http://uc.socioambiental.org/pt-br/arp/1265
PES Ilha Grande (PES),PES,12052,0000.33.1477,http://uc.socioambiental.org/pt-br/arp/2183
MONAT Ilhas Cagarras,MONAT,523,0000.00.0034,http://uc.socioambiental.org/pt-br/arp/2467
APA Ilhas de Tinharé e Boipeba,APA,43300,0000.29.0304,http://uc.socioambiental.org/pt-br/arp/1044
MONAT Ilhas de Trindade e Martim Vaz e do Monte Columbia,MONAT,6915536,0000.00.3642,http://uc.socioambiental.org/pt-br/arp/5518
RVS Ilhas do Abrigo e Guararitama,RVS,481,0000.35.1681,http://uc.socioambiental.org/pt-br/arp/4771
RESEC Ilhas do Lago Paranoá,RESEC,3,,http://uc.socioambiental.org/pt-br/arp/2953
APA Ilhas e Várzeas do Rio Paraná,APA,1003060,0000.00.0025,http://uc.socioambiental.org/pt-br/arp/1266
ARIE Ilhas Queimada Pequena e Queimada Grande,ARIE,33,0000.00.0037,http://uc.socioambiental.org/pt-br/arp/1168
APA Ingazeiras,APA,654,,http://uc.socioambiental.org/pt-br/arp/3061
PES Intervales,PES,49000,0000.35.1676,http://uc.socioambiental.org/pt-br/arp/885
FLONA Ipanema,FLONA,5180,0000.00.0094,http://uc.socioambiental.org/pt-br/arp/941
RESEX Ipaú-Anilzinho,RESEX,55816,0000.00.0241,http://uc.socioambiental.org/pt-br/arp/4330
RESEX Ipê,RESEX,815.460021972656,0000.11.0749,http://uc.socioambiental.org/pt-br/arp/3030
ARIE Ipojuca-Merepe,ARIE,-,0000.26.3316,http://uc.socioambiental.org/pt-br/arp/6055
ESEC Iquê,ESEC,200000,0000.00.0055,http://uc.socioambiental.org/pt-br/arp/611
FLONA Iquiri,FLONA,1476073,0000.00.1612,http://uc.socioambiental.org/pt-br/arp/4958
APA Iraí (APA),APA,11536,0000.41.0501,http://uc.socioambiental.org/pt-br/arp/2433
FLONA Irati,FLONA,3495,0000.00.0125,http://uc.socioambiental.org/pt-br/arp/1296
FES Iriri,FES,440493,0000.15.1036,http://uc.socioambiental.org/pt-br/arp/4643
ESEC Itaberá,ESEC,180,0000.35.0821,http://uc.socioambiental.org/pt-br/arp/923
PES Itaberaba,PES,15113,0000.35.1966,http://uc.socioambiental.org/pt-br/arp/5125
FLONA Itacaiúnas,FLONA,141400,0000.00.0117,http://uc.socioambiental.org/pt-br/arp/1324
PES Itacolomi,PES,7543,0000.31.0413,http://uc.socioambiental.org/pt-br/arp/2117
FLONA Itaituba I,FLONA,212329,0000.00.0095,http://uc.socioambiental.org/pt-br/arp/1326
FLONA Itaituba II,FLONA,412047,0000.00.0096,http://uc.socioambiental.org/pt-br/arp/1327
RDS Itapanhapima,RDS,1242.7,0000.35.1693,http://uc.socioambiental.org/pt-br/arp/4935
RDS Itapará-Boiaçu,RDS,622838,,http://uc.socioambiental.org/pt-br/arp/6103
ESEC Itapeti,ESEC,89,0000.35.0910,http://uc.socioambiental.org/pt-br/arp/924
PES Itapetinga,PES,10192,0000.35.1965,http://uc.socioambiental.org/pt-br/arp/5126
RESEX Itapetininga,RESEX,16294,0000.00.3651,http://uc.socioambiental.org/pt-br/arp/5453
ESEC Itapeva (ESEC),ESEC,107,0000.35.2666,http://uc.socioambiental.org/pt-br/arp/963
PES Itapeva (PES),PES,1000,0000.43.1863,http://uc.socioambiental.org/pt-br/arp/3471
APA Itapiracó,APA,322,0000.21.1890,http://uc.socioambiental.org/pt-br/arp/5159
PES Itapuã,PES,5567,0000.43.1994,http://uc.socioambiental.org/pt-br/arp/2298
PARNA Itatiaia,PARNA,30000,0000.00.0184,http://uc.socioambiental.org/pt-br/arp/992
MONAT Itatiaia,MONAT,3216,0000.31.2621,http://uc.socioambiental.org/pt-br/arp/5499
RDS Itatupã-Baquiá,RDS,64735,0000.00.0218,http://uc.socioambiental.org/pt-br/arp/4331
RESEX Itaúba,RESEX,1758.06994628906,0000.11.0748,http://uc.socioambiental.org/pt-br/arp/3029
PES Itaúnas,PES,3150,0000.32.0331,http://uc.socioambiental.org/pt-br/arp/1040
PES Itinguçu,PES,5040,0000.35.1677,http://uc.socioambiental.org/pt-br/arp/4768
ESEC Itirapina (ESEC),ESEC,2300,0000.35.2701,http://uc.socioambiental.org/pt-br/arp/959
APA Itupararanga,APA,-,0000.35.1703,http://uc.socioambiental.org/pt-br/arp/6024
RESEX Ituxi,RESEX,776940,0000.00.1628,http://uc.socioambiental.org/pt-br/arp/4851
RESEC Jacarenema,RESEC,307,,http://uc.socioambiental.org/pt-br/arp/2892
RESEX Jaci Paraná,RESEX,197364,0000.11.0776,http://uc.socioambiental.org/pt-br/arp/1319
FLONA Jacundá,FLONA,220644,0000.00.0097,http://uc.socioambiental.org/pt-br/arp/4249
REBIO Jaíba (REBIO),REBIO,6358,0000.31.0415,http://uc.socioambiental.org/pt-br/arp/2118
PES Jalapão,PES,158885,0000.17.1486,http://uc.socioambiental.org/pt-br/arp/1406
APA Jalapão,APA,461730,0000.17.1499,http://uc.socioambiental.org/pt-br/arp/2958
FLONA Jamanxim,FLONA,1301120,0000.00.0266,http://uc.socioambiental.org/pt-br/arp/4445
PARNA Jamanxim,PARNA,858860,0000.00.0267,http://uc.socioambiental.org/pt-br/arp/4447
FLONA Jamari,FLONA,215000,0000.00.0118,http://uc.socioambiental.org/pt-br/arp/645
ARIE Japiim-Pentecoste,ARIE,25000,0000.12.1983,http://uc.socioambiental.org/pt-br/arp/4898
PES Jaraguá (PES),PES,493,0000.35.0859,http://uc.socioambiental.org/pt-br/arp/1056
ESEC Jardim Botânico de Brasília,ESEC,4430,0000.53.1654,http://uc.socioambiental.org/pt-br/arp/2539
ESEC Jari,ESEC,227126,0000.00.0067,http://uc.socioambiental.org/pt-br/arp/605
REBIO Jaru,REBIO,353335,0000.00.0208,http://uc.socioambiental.org/pt-br/arp/620
ESEC Jataí,ESEC,9075,0000.35.0808,http://uc.socioambiental.org/pt-br/arp/1058
RESEX Jatobá,RESEX,1135,0000.11.0750,http://uc.socioambiental.org/pt-br/arp/3027
FLONA Jatuarana,FLONA,580201,0000.00.0119,http://uc.socioambiental.org/pt-br/arp/3411
PARNA Jaú,PARNA,2272000,0000.00.0173,http://uc.socioambiental.org/pt-br/arp/593
ARIE Javari-Buriti,ARIE,15000,0000.00.0038,http://uc.socioambiental.org/pt-br/arp/633
APA Jenipabu,APA,1881,0000.24.1470,http://uc.socioambiental.org/pt-br/arp/2013
PARNA Jericoacoara,PARNA,8850,0000.00.0162,http://uc.socioambiental.org/pt-br/arp/2970
APA Joanes-Ipitanga,APA,5022,,http://uc.socioambiental.org/pt-br/arp/1041
APA João Leite,APA,72128,0000.52.0353,http://uc.socioambiental.org/pt-br/arp/3522
PES João Leite,PES,-,0000.52.3030,http://uc.socioambiental.org/pt-br/arp/6051
PES João Paulo II,PES,5,0000.41.0547,http://uc.socioambiental.org/pt-br/arp/2434
PES José Inácio da Silva (Zé  Bolo Flô),PES,66,0000.51.1903,http://uc.socioambiental.org/pt-br/arp/3546
PES José Lutzemberger (Guarita),PES,350,,http://uc.socioambiental.org/pt-br/arp/2304
FES José Zago,FES,29,0000.33.3831,http://uc.socioambiental.org/pt-br/arp/3156
ESEC Juami-Japurá,ESEC,837650,0000.00.0072,http://uc.socioambiental.org/pt-br/arp/608
RESEC Juatinga,RESEC,8000,,http://uc.socioambiental.org/pt-br/arp/1001
RDS Juma,RDS,589611.28,0000.13.1573,http://uc.socioambiental.org/pt-br/arp/4774
APA Jundiaí,APA,43200,0000.35.1704,http://uc.socioambiental.org/pt-br/arp/974
PES Juquery,PES,1928,0000.35.0831,http://uc.socioambiental.org/pt-br/arp/875
ESEC Juréia-Itatins,ESEC,84425,0000.35.0862,http://uc.socioambiental.org/pt-br/arp/880
PARNA Juruena,PARNA,1957000,0000.00.0281,http://uc.socioambiental.org/pt-br/arp/4252
PES Jurupará,PES,26251,0000.35.0801,http://uc.socioambiental.org/pt-br/arp/868
ESEC Jutaí-Solimões,ESEC,284285,0000.00.0056,http://uc.socioambiental.org/pt-br/arp/614
PES Lagamar de Cananéia,PES,40759,0000.35.1678,http://uc.socioambiental.org/pt-br/arp/4930
APA Lagamar do Cauípe,APA,1884.4599609375,0000.23.0949,http://uc.socioambiental.org/pt-br/arp/2790
APA Lagedão,APA,12000,0000.31.0407,http://uc.socioambiental.org/pt-br/arp/2924
APA Lagoa da Jansen,APA,196,,http://uc.socioambiental.org/pt-br/arp/779
RVS Lagoa da Turfeira,RVS,206,0000.33.3550,http://uc.socioambiental.org/pt-br/arp/5637
APA Lagoa de Guanandy,APA,5242,0000.32.0333,http://uc.socioambiental.org/pt-br/arp/1029
APA Lagoa de Nazaré,APA,-,,http://uc.socioambiental.org/pt-br/arp/3056
PES Lagoa do Açu,PES,-,0000.33.2721,http://uc.socioambiental.org/pt-br/arp/5305
PES Lagoa do Cajueiro,PES,20500,0000.31.0390,http://uc.socioambiental.org/pt-br/arp/2920
APA Lagoa do Jijoca,APA,3996,0000.23.0962,http://uc.socioambiental.org/pt-br/arp/2808
PARNA Lagoa do Peixe (PARNA),PARNA,34400,0000.00.0140,http://uc.socioambiental.org/pt-br/arp/1106
ARIE Lagoa do Portinho,ARIE,-,,http://uc.socioambiental.org/pt-br/arp/5621
APA Lagoa do Uruaú,APA,2672.580078125,0000.23.0953,http://uc.socioambiental.org/pt-br/arp/2798
APA Lagoa Encantada,APA,11800,0000.29.0312,http://uc.socioambiental.org/pt-br/arp/1207
APA Lagoa Itaparica,APA,78450,0000.29.0329,http://uc.socioambiental.org/pt-br/arp/2887
APA Lagoas de Guarajuba,APA,230,0000.29.0316,http://uc.socioambiental.org/pt-br/arp/1025
APA Lagoas e Dunas do Abaeté,APA,1800,0000.29.0315,http://uc.socioambiental.org/pt-br/arp/1042
PES Lago Azul,PES,1749,0000.41.0511,http://uc.socioambiental.org/pt-br/arp/2763
APA Lago de Palmas,APA,50370,0000.17.1497,http://uc.socioambiental.org/pt-br/arp/2961
APA Lago de Pedra do Cavalo,APA,30156,0000.29.0318,http://uc.socioambiental.org/pt-br/arp/2881
APA Lago de Peixe/Angical,APA,78874,0000.17.1494,http://uc.socioambiental.org/pt-br/arp/3166
REBIO Lago de Piratuba,REBIO,357000,0000.00.0209,http://uc.socioambiental.org/pt-br/arp/621
APA Lago de Santa Isabel,APA,18608,0000.17.1493,http://uc.socioambiental.org/pt-br/arp/4961
"APA Lago de São Salvador do TO, Paranã e Palmeirópolis",APA,14525,0000.17.1492,http://uc.socioambiental.org/pt-br/arp/4962
APA Lago de Sobradinho,APA,1018000,0000.29.1015,http://uc.socioambiental.org/pt-br/arp/4785
APA Lago de Tucuruí,APA,568667,0000.15.1029,http://uc.socioambiental.org/pt-br/arp/2946
APA Lago do Amapá,APA,5224,0000.12.0941,http://uc.socioambiental.org/pt-br/arp/4899
RESEX Lago do Capanã Grande,RESEX,304146,0000.00.0242,http://uc.socioambiental.org/pt-br/arp/4240
RESEX Lago do Cedro,RESEX,17338,0000.00.0287,http://uc.socioambiental.org/pt-br/arp/4511
RESEX Lago do Cuniã,RESEX,74659,0000.00.0233,http://uc.socioambiental.org/pt-br/arp/1368
APA Lago Paranoá (APA),APA,16000,0000.53.1636,http://uc.socioambiental.org/pt-br/arp/2954
PES Lajeado,PES,9931,0000.17.1488,http://uc.socioambiental.org/pt-br/arp/2966
PES Lapa Grande,PES,15360,0000.31.0938,http://uc.socioambiental.org/pt-br/arp/4904
